Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Aftab Ali Malik,"Urologist, Andrologist",M.B.B.S,35 Years,"Rs. 1,500","MS,  MS (Urology),  FACS,  Fellow in Urology (USA),   Infertility",Under 15 Min,1554,97%,Islamabad
Dr. Umer Javed Chughtai,"Urologist, Andrologist, Sexologist",M.B.B.S,10 Years,"Rs. 2,000",F.C.P.S. (Urology),Under 15 Min,617,99%,Islamabad
Dr. Raza Ul Hassan,"Urologist, Male Sexual Health Specialist",M.B.B.S.,8 Years,"Rs. 2,500","M.S (Urology),  Diploma in Diagnostic Ultrasound",Under 15 Min,67,98%,Islamabad
Dr. Muhammad Akram Kumbhar,"Urologist, Male Sexual Health Specialist, Sexologist",M.B.B.S.,15 Years,"Rs. 2,000",M.S. (Urology),Under 15 Min,1023,97%,Islamabad
Dr. Ehsan Ul Haque,Urologist,MBBS,15 Years,"Rs. 2,500",FCPS (Urology),Under 15 Min,42,96%,Islamabad
Dr. Gul Nawaz,Urologist,M.B.B.S,12 Years,"Rs. 2,500",F.C.P.S. (Urology),Under 15 Min,46,100%,Islamabad
Dr. Ghulam Mustafa,"Urologist, Sexologist",MBBS,15 Years,Not Available,FCPS (Urologist),Under 15 Min,108,100%,Islamabad
Dr. Irfan Ahmed Jamal,Urologist,MBBS,"100%
                                                                                    (80)","Rs. 2,200",MCPS,Under 15 Min,80,,Islamabad
Dr. Nabeel Akhtar Bhatti,"Family Physician, Andrologist, Sexologist, Urologist, General Surgeon",M.B.B.S,11 Years,Not Available,"RMP,  F.C.P.S.",Under 15 Min,68,100%,Islamabad
Dr. Yasir Ikram,Urologist,MBBS,15 Years,Not Available,FCPS (Urology),Under 15 Min,30,100%,Islamabad
Dr. Naeem Ullah,"Urologist, Sexologist",MBBS,15 Years,"Rs. 2,500",FCPS (Urology),Under 15 Min,553,99%,Islamabad
Dr. Rameez Ahmed,Urologist,M.B.B.S,8 Years,"Rs. 2,000",F.C.P.S. (Urology),Under 15 Min,25,100%,Islamabad
Dr. Ahmad Sajjad,"Urologist, Sexologist",MBBS,32 Years,"Rs. 2,500",FCPS,Under 15 Min,547,99%,Islamabad
Prof. Dr. Abdul Khaliq,Urologist,MBBS,32 Years,Not Available,FRCS (UK),24 Years,not available,99%,Islamabad
Prof. Dr. Mohammad Shahbaz Hanif Mehr,"Urologist, Sexologist, Pediatric Urologist",MBBS,21 Years,Not Available,"FCPS (Urology),  Clinical Fellowship Paedaitic Urology",15 - 30 Min,54,98%,Islamabad
Dr. Amer Abbas,Urologist,MBBS,21 Years,Not Available,MS (Urology),20 Years,not available,98%,Islamabad
Dr. Mashood Zia,"Urologist, Uro-Oncologist, Endoscopic Surgeon, Kidney Transplant Surgeon, Sexologist",MBBS,10 Years,Not Available,FCPS (Urology),Under 15 Min,140,99%,Islamabad
Dr. Rehmat Ullah,"Andrologist, Urologist",M.D.,20 Years,Not Available,Residency Diploma (Urology),Under 15 Min,9,100%,Islamabad
Dr. Zein El Amir,Urologist,MBBS,23 Years,Not Available,FCPS,15 - 30 Min,53,100%,Islamabad
Dr. Ruqaiya Tahir,Urologist,MBBS,7 Years,Not Available,FCPS,Under 15 Min,99,98%,Islamabad
Dr. Fayyaz Ali Bangash,Urologist,MBBS,15 Years,Not Available,MS (Urology),Under 15 Min,180,98%,Islamabad
Dr. Jawad Ahmad,Urologist,MBBS,15 Years,Not Available,MRCS,8 Years,not available,98%,Islamabad
Dr. Khalid Saeed,Urologist,MBBBS,20 Years,Not Available,MS (Urology),Under 15 Min,12,88%,Islamabad
Prof. Dr. Sajid Mumtaz Qazi,"Urologist, Sexologist, Renal Surgeon",MBBS,30 Years,Not Available,FCPS,Under 15 Min,18,95%,Islamabad
Dr. Sharjeel Khan,Urologist,MBBS,4 Years,Not Available,FCPS (Urology),Under 15 Min,22,93%,Islamabad
Dr. Faisal Rauf,Urologist,M.B.B.S,13 Years,Not Available,"MRCS (UK),  FRCS (UK)",Under 15 Min,358,98%,Islamabad
Dr. Sadat Hashmi,Urologist,M.B.B.S,13 Years,Not Available,F.C.P.S,15 Years,not available,98%,Islamabad
Dr. Ishtiaq Ahmed,Urologist,MBBS,6 Years,Not Available,FCPS (Urology),Under 15 Min,87,97%,Islamabad
Dr. Mian Khalid Akbar,Urologist,MBBS,20 Years,Not Available,FRCS (Edin.),Under 15 Min,5,100%,Islamabad
Dr. Zeeshan Qadeer,Urologist,M.B.B.S (Urology),20 Years,Not Available,"M.C.P.S (Urology),  F.C.P.S (Urology)",18 Years,not available,100%,Islamabad
Dr. Asher Masood,Urologist,MBBS,20 Years,Not Available,FCPS (Urology),not available,not available,100%,Islamabad
Dr. Mohammad Ayaz Khan,Urologist,MBBS,20 Years,Not Available,FCPS (UROLOGY),not available,not available,100%,Islamabad
Dr. Muhammad Athar Khawaja,Urologist,MBBS,20 Years,Not Available,FCPS (PAK),not available,not available,100%,Islamabad
Dr. Saeed Akhter,Urologist,MBBS,20 Years,Not Available,MASTERS IN PUBLIC HEALTH,not available,not available,100%,Islamabad
Dr. Kashif Sardar Bangash,Urologist,MBBS,20 Years,Not Available,"FCPS,  MCPS",not available,not available,100%,Islamabad
Dr. Muhammed Naeem,Urologist,MBBS,20 Years,Not Available,"MRCS,  MS (UROLOGY)",not available,not available,100%,Islamabad
BRIG. DR. Waqar Azim Niaz,Urologist,MBBS,20 Years,Not Available,,not available,not available,100%,Islamabad
Dr. Zulfiqar Butt,Urologist,MBBS,20 Years,Not Available,,not available,not available,100%,Islamabad
Dr. Durre Shohab,Urologist,MBBS,20 Years,Not Available,,8 Years,not available,100%,Islamabad
Dr. M. Asim Khan,Urologist,MD,20 Years,Not Available,,not available,not available,100%,Islamabad
Dr. M. Imran Jamil,Urologist,MBBS,20 Years,Not Available,FCPS,11 Years,not available,100%,Islamabad
Dr. Qalandar Jan,Urologist,MBBS,20 Years,Not Available,FCPS,not available,not available,100%,Islamabad
Dr. Naeem ullah,Urologist,MBBS,20 Years,Not Available,,not available,not available,100%,Islamabad
Dr. Inam Malkani,Urologist,M.B.B.S.,20 Years,Not Available,F.C.P.S.,10 Years,not available,100%,Islamabad
Dr. Faisal Liaquat,Urologist,M.B.B.S.,7 Years,"Rs. 2,000",F.C.P.S.,15 - 30 Min,6,100%,Karachi
Assist. Prof. Dr. Tanveer Ahmed,"Urologist, Pediatric Urologist, Male Sexual Health Specialist, Fertility Consultant, Sexologist",M.B.B.S.,16 Years,"Rs. 1,500","M.C.P.S. (Surgery),  F.C.P.S. (Urology)",Under 15 Min,2814,99%,Karachi
Dr. Abdul Hafeez Qureshi,Urologist,MBBS,10 Years,"Rs. 2,000","FCPS (Urology),  MRCPS (Glasgow),  FACS,  Fellowship in Uro-Oncology (Egypt),  EUSP Fellow Netherland",15 - 30 Min,34,100%,Karachi
Dr. Hira Anis Bumbia,Urologist,M.B.B.S.,11 Years,"Rs. 3,500",MS (Urology),15 - 30 Min,8,100%,Karachi
Dr. Capt. Moeen Ahmed Qureshi,"Urologist, Sexologist",MBBS,33 Years,"Rs. 1,000","FCPS,  FICS (Urology)",Under 15 Min,793,98%,Karachi
Dr. Syed Farhan Ahmed,Urologist,MBBS,13 Years,"Rs. 1,000",FCPS (Urology),15 - 30 Min,21,94%,Karachi
Dr. Feroz Ahmed Mahar,Urologist,M.B.B.S.,10 Years,"Rs. 1,500",MS,Under 15 Min,457,98%,Karachi
Dr. Muhammad Shoaib Mithani,"Urologist, Sexologist",M.B.B.S.,15 Years,"Rs. 1,000","F.C.P.S. (Urology),  F.E.B.U (Belgium)",Under 15 Min,369,98%,Karachi
Dr. Agha Ghulam Mustafa,"Urologist, Reconstructive Surgeon, Pediatric Urologist, Andrologist, Uro-Oncologist, Fertility Consultant, Renal Surgeon, Laparoscopic Surgeon, Sexologist",M.B.B.S.,9 Years,"Rs. 2,500","F.C.P.S.,  F.R.C.S,  FMAS (UAE)",15 - 30 Min,1022,97%,Karachi
Dr. G. Lal,"Urologist, General Surgeon",MBBS,35 Years,"Rs. 1,500","Dip. In Urology,  F.R.S.H (London)",Under 15 Min,242,98%,Karachi
Dr. Sajjad Ali,"Urologist, Pediatric Urologist, Male Sexual Health Specialist, Fertility Consultant, Sexologist",M.B.B.S,10 Years,"Rs. 1,500",F.C.P.S. (Urology),15 - 30 Min,1379,98%,Karachi
Dr. Murtaza Azad,"Urologist, Pediatric Urologist, Sexologist",M.B.B.S,7 Years,"Rs. 3,500","F.C.P.S,  Fellowship in Pediatric Urology",Under 15 Min,98,95%,Karachi
Assist. Prof. Dr. Iqbal Shahzad,"Urologist, Sexologist",MBBS,21 Years,"Rs. 3,000","FCPS (Urology,  FCPS (Gen. Surgery),  F.M.A.S (Fellowship in Laproscopic Urology)",45 - 60 Min,35,97%,Karachi
Dr. Waqas Ahmed,Urologist,M.B.B.S,12 Years,Rs. 800,F.C.P.S. (Urology),15 - 30 Min,45,91%,Karachi
Dr. Akhtar Ali,"Urologist, Male Sexual Health Specialist",M.B.B.S,10 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,21,100%,Karachi
Dr. Zehra Kazmi,Urologist,M.B.B.S,12 Years,"Rs. 3,500",F.C.P.S. (Urology),15 - 30 Min,27,97%,Karachi
Dr. Javaid Aqeel Rajput,"Urologist, Male Sexual Health Specialist, Sexologist",MBBS,28 Years,"Rs. 1,500","FCPS,  Dip Urology",Under 15 Min,803,99%,Karachi
Dr. Muhammad Amjad Noor,"Urologist, Male Sexual Health Specialist",MBBS,26 Years,"Rs. 1,500","FCPS (Urology),  FEBU",Under 15 Min,308,98%,Karachi
Dr. Ayesha Khan,Urologist,MBBS,8 Years,"Rs. 1,500",FCPS (Urology),15 - 30 Min,54,100%,Karachi
Dr. Muhammad Ali Yousuf,"Urologist, Pediatric Urologist, Male Sexual Health Specialist, Sexologist",M.B.B.S.,7 Years,Rs. 700,"F.C.P.S. (Urology),  MRCS",15 - 30 Min,133,97%,Karachi
Dr. Farooq Ahmed,Urologist,M.B.B.S.,"100%
                                                                                    (143)","Rs. 2,000",F.C.P.S. (Urology),Under 15 Min,143,,Karachi
Dr. Jai Kumar,Urologist,MBBS,7 Years,"Rs. 1,500",FCPS (Urology),15 - 30 Min,20,100%,Karachi
Dr. Naresh Kumar Valecha,"Urologist, Male Sexual Health Specialist",M.B.B.S,20 Years,Not Available,"F.C.P.S,  F.R.C.S (Glasgow) (Urology)",Under 15 Min,303,98%,Karachi
Dr. Khuda Bux,Urologist,MBBS,5 Years,"Rs. 2,000",FCPS (Urology),Under 15 Min,9,100%,Karachi
Dr. Muhammad Rashid,"Urologist, Pediatric Urologist, Sexologist",M.B.B.S.,9 Years,"Rs. 3,000","M.R.C.P.S,  F.C.P.S.,  fellowship in pediatric urology",Under 15 Min,303,100%,Karachi
Dr. Adnan Muneer,"Urologist, Male Sexual Health Specialist, Sexologist",M.B.B.S,21 Years,"Rs. 2,000","F.C.P.S. (Urology) ,  M.C.P.S. (Surgery),  FECSM (Fellow European Committee of Sexual Medicine)",Under 15 Min,245,97%,Karachi
Dr. Shahid Hussain Baloch,"Urologist, Sexologist",MBBS,20 Years,"Rs. 1,500",FCPS (Urology),15 - 30 Min,177,100%,Karachi
Dr. Zubda Malik,Urologist,M.B.B.S,10 Years,"Rs. 1,000",F.C.P.S. (Urology),15 - 30 Min,71,100%,Karachi
Dr. Shaikh M. Sajid Ali,"Urologist, Sexologist",M.B.B.S,15 Years,"Rs. 2,000",F.C.P.S. (Urology),15 - 30 Min,24,88%,Karachi
Dr. Yasir Murtaza,Urologist,MBBS,8 Years,"Rs. 2,000","FCPS (Urology),  Fellowship in Uro-Oncology",Under 15 Min,117,99%,Karachi
Dr. Liaquat Ali,Urologist,MBBS,3 Years,"Rs. 1,500",FCPS (Urology),Under 15 Min,9,100%,Karachi
Dr. Ali Haider Khowaja,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist",MBBS,"98%
                                                                                    (1004)",Not Available,FCPS (Urology),Under 15 Min,1004,,Karachi
Dr. M. Mansoor,"Urologist, General Surgeon",MBBS,33 Years,"Rs. 2,500","FCPS (Surgery),  FCPS (Urology)",15 - 30 Min,428,97%,Karachi
Prof. Dr. Aziz Abdullah,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist",MBBS,36 Years,"Rs. 2,500","FRCS (England),  Dip. in Urology,  FEBU",15 - 30 Min,225,94%,Karachi
Dr. Tufail Bawa,"General Surgeon, Urologist",MBBS,35 Years,Rs. 900,FRCSEd - Surgery ( . ),15 - 30 Min,36,97%,Karachi
Dr. Shahab Javid,Urologist,MBBS,36 Years,"Rs. 3,000",F.R.C.S.	(Glassgow),Under 15 Min,8,100%,Karachi
Dr. Fakhir Yousuf,"Urologist, Sexologist",M.B.B.S.,16 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,529,99%,Karachi
Dr. Syed Wajid Ali,Urologist,MBBS,"100%
                                                                                    (12)",Not Available,"FCPS (Urology),  FICS (USA),  MRCS (London)",18 Years,12,,Karachi
Dr. Saeed Ahmed Khan,"Urologist, Male Sexual Health Specialist",M.B.B.S,8 Years,Not Available,F.C.P.S,Under 15 Min,20,100%,Karachi
Dr. Rashid Abbas,"Urologist, Sexologist, Renal Surgeon, Andrologist",M.B.B.S.,10 Years,Not Available,F.C.P.S.,Under 15 Min,49,94%,Karachi
Dr. Shahzad Ali,Urologist,MBBS,23 Years,Not Available,FCPS (Urologist),30 - 45 Min,24,100%,Karachi
Dr. Muhammad Imran Malik,"Urologist, Male Sexual Health Specialist, Fertility Consultant, Sexologist",M.B.B.S.,8 Years,Not Available,F.C.P.S. (Urology),Under 15 Min,726,98%,Karachi
Dr. Malik Aftab Younus,"Urologist, Sexologist",MBBS,8 Years,Not Available,FCPS (Urology),Under 15 Min,10,100%,Karachi
Dr. Raj Kumar,Urologist,M.B.B.S,12 Years,Not Available,F.C.P.S. (Urology),15 - 30 Min,20,94%,Karachi
Prof. Dr. Noshad Shaikh,"Urologist, General Surgeon",MBBS,35 Years,Not Available,"FCPS (Surgery),  MS (Surgery)",15 - 30 Min,212,99%,Karachi
Dr. Jai Parkash Bhojwani,Urologist,MBBS,22 Years,Not Available,FCPS (Urology),15 - 30 Min,145,97%,Karachi
Dr. Mahmood Ahmed,Urologist,MBBS,16 Years,Not Available,MS (Gen. Surgery),15 - 30 Min,27,96%,Karachi
Dr. Sherjeel Saulat,"Urologist, Pediatric Urologist",M.B.B.S,19 Years,Not Available,F.C.P.S. (Urology),15 - 30 Min,80,100%,Karachi
Dr. Jahanzeb Shaikh,Urologist,MBBS,5 Years,Not Available,FCPS (Urology),Under 15 Min,5,100%,Karachi
Dr. Masood A. Shaikh,Urologist,MBBS,"75%
                                                                                    (13)",Not Available,FCPS (Urology),15 Years,13,,Karachi
Dr. Muhammad Asim,Urologist,M.B.B.S,14 Years,Not Available,F.C.P.S. (Urology),15 - 30 Min,4,100%,Karachi
Prof. Dr. Qamaruddin Baloch,"General Surgeon, Urologist, Laparoscopic Surgeon",MBBS,36 Years,Not Available,FCPS,15 - 30 Min,23,100%,Karachi
Dr. Syed Saeed Uddin Qadri,Urologist,MBBS,9 Years,Not Available,FCPS (Urology),Under 15 Min,16,100%,Karachi
Dr. Syed Imtiaz Ali,"Laparoscopic Surgeon, Urologist",MBBS,9 Years,Not Available,M.D,37 Years,not available,100%,Karachi
Dr. Hussam Uddin Soomro,"Urologist, Male Sexual Health Specialist",MBBS,11 Years,Not Available,FCPS,Under 15 Min,2,100%,Karachi
Dr. Arif Ali,Urologist,MBBS,12 Years,Not Available,FCPS (Urology),Under 15 Min,180,99%,Karachi
Dr. M. Babar Baig,Urologist,M.B.B.S.,15 Years,Not Available,F.C.P.S. (Urology),15 - 30 Min,6,100%,Karachi
Dr. Rashid Bin Hamid,"Urologist, Renal Surgeon",MBBS,27 Years,Not Available,MS (Urology),Under 15 Min,179,98%,Karachi
Dr. Ubaid Ullah,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Mumtaz Ali,"Urologist, Sexologist, Male Sexual Health Specialist",MBBS,27 Years,Not Available,FCPS,27 Years,not available,98%,Karachi
Dr. ObaidUllah Memon,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Muhammad Misbah Nizami,"Urologist, General Surgeon",MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Shah Nawaz,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Maqsood Anwar Noorani,Urologist,MBBS,27 Years,Not Available,FRCS (Ed.),not available,not available,98%,Karachi
Assist. Prof. Dr. Ishrat Saleem,"Urologist, Sexologist, Renal Surgeon",MBBS,27 Years,Not Available,"MRCS,  FRCS (EDIN),  FRCS (GLASGOW)",31 Years,not available,98%,Karachi
Dr. Mehmood Yousuf,"General Surgeon, Urologist",MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Nadeem ullah Baig,"Renal Surgeon, Urologist",MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Nasir Sulaiman,"Renal Surgeon, Urologist",MBBS,27 Years,Not Available,"FRCS (Glasg),  FRCS (Edin.),  DUrol. (Lond.),  FRCS Urology (UK,  Ireland)",24 Years,not available,98%,Karachi
Dr. Anis Hussain,Urologist,MBBS,27 Years,Not Available,"FCPS,  FRCS (Glasg)",not available,not available,98%,Karachi
Dr. Zafar Zaidi,"Renal Surgeon, Urologist",MBBS,27 Years,Not Available,FRCS (Surgery),29 Years,not available,98%,Karachi
Dr. Atif Javed,Urologist,MBBS,27 Years,Not Available,", RCS,  FCPS (Uro)",not available,not available,98%,Karachi
Dr. Mansoor,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Muhammad Hammad Athar,Urologist,M.B.B.S,27 Years,Not Available,F.C.P.S,not available,not available,98%,Karachi
Dr. Syed Muhammad Nazim,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Abdul Jabbar Peerzada,Urologist,FRCS,27 Years,Not Available,"MCPS,  FCPS",not available,not available,98%,Karachi
Dr. Syed Adeeb Ul Hasan Rizvi,"Renal Surgeon, Urologist",MBBS,27 Years,Not Available,"FCPS (Urology),  FRCS (Ed.),  FRCP,  PhD",44 Years,not available,98%,Karachi
Dr. Altaf Hussain Hashmi,Urologist,MBBS,27 Years,Not Available,"MCPS,  MS",not available,not available,98%,Karachi
Dr. Murli Lal,Urologist,MBBS,27 Years,Not Available,MS,not available,not available,98%,Karachi
Dr. Bux Ali,Urologist,MBBS,27 Years,Not Available,MS,not available,not available,98%,Karachi
Dr. Gauhar Sultan,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Asad Shahzad Hasan,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Muhammad Rehan Mohsin,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Munawwar Khalique,Urologist,MBBS,27 Years,Not Available,MS,not available,not available,98%,Karachi
Dr. Harris Hassan Qureshi,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Abdul Khalique,"General Surgeon, Urologist",MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Sajid Sultan,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Qadir Rasool,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Ass.Prof. Dr. S.A. Abidi,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Capt. Retired Moin Qureshi,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Shahab Jawed,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Aatif Hassan,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. M.Yousuf Khan,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Pervez Iqbal,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Shah Nawas,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Mumtaz Ud-Din Haider,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Mohammad Mubashir,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Prof. Dr. Abdul Majid Rana,Urologist,MBBS,27 Years,Not Available,FRCS,24 Years,not available,98%,Karachi
Dr. Syed Imtiaz Ali,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Prof. Dr. Ahmed Fawad,"General Surgeon, Urologist",MBBS,27 Years,Not Available,FRCS,27 Years,not available,98%,Karachi
Dr. Capt. Moiz. A,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Shezad Ali,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Mustanasir D. Jhaveri,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Atif Hassan Shaikh,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Imtiaz Ali,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Anees Hussain Jaffery,"Urologist, Kidney Transplant Surgeon",MBBS,27 Years,Not Available,"FCPS,  FRCS (Glasgow)",28 Years,not available,98%,Karachi
Dr. M.Imtiaz Baig,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. A. Saleem Ansari,Urologist,MBBS,27 Years,Not Available,FRCS,not available,not available,98%,Karachi
Dr. Muhammad Imtiaz Baig,Urologist,MBBS,27 Years,Not Available,FCPS,not available,not available,98%,Karachi
Dr. Amanullah Abbasi,Urologist,,27 Years,Not Available,,not available,not available,98%,Karachi
Dr. Syed Raziuddin Biyabani,Urologist,MBBS,27 Years,Not Available,,not available,not available,98%,Karachi
Assist. Prof. Dr. Shazia Siddique,"Internal Medicine Specialist, Consultant Physician, Diabetologist, Gastroenterologist",MBBS,21 Years,"Rs. 3,000",MRCP (UK),Under 15 Min,522,98%,Lahore
Dr. Fahd Aziz Rana,Gastroenterologist,MBBS,18 Years,"Rs. 4,000","MRCP(UK),  FRCP(Glasgow),  FRCP(Edinburgh),  CCT Medicine(UK),  CCT Gastroenterology(UK),  Fellowship in Advanced ERCP and EUS (UK),  Fellow European Board of Gastroenterology and Hepatology (FEBGH)",Under 15 Min,1000,100%,Lahore
Dr. Syed Sibtain Ul Hassan,"Internal Medicine Specialist, Hypertension Specialist, Consultant Physician, Diabetologist, Gastroenterologist",Certified in Diabetology (USA),11 Years,"Rs. 1,000","F.C.P.S (Medicine),  M.B.B.S",Under 15 Min,2439,99%,Lahore
Dr. Muhammed Siddiq,"Internal Medicine Specialist, Gastroenterologist",MBBS,31 Years,"Rs. 2,000","FACP (USA),  FCPS (Medicine)",Under 15 Min,501,100%,Lahore
Assist. Prof. Dr. Bilal Aziz,"Internal Medicine Specialist, Consultant Physician, Diabetologist, Gastroenterologist",F.C.P.S. (Medicine),20 Years,"Rs. 2,500",M.D (Gastroentology),15 - 30 Min,327,100%,Lahore
Dr. Umair Shafqat,"Internal Medicine Specialist, Family Physician, General Physician, Gastroenterologist",MBBS,6 Years,"Rs. 1,000",FCPS (Gastroenterology),Under 15 Min,7,100%,Lahore
Dr. Umar Ejaz,"Consultant Physician, Internal Medicine Specialist, Hypertension Specialist, Diabetologist, Gastroenterologist",M.B.B.S,10 Years,"Rs. 2,000",F.C.P.S (Medicine),Under 15 Min,506,98%,Lahore
Dr. Muhammad Atif Saeed,"Gastroenterologist, Consultant Physician",M.B.B.S.,8 Years,"Rs. 2,000",F.C.P.S. (Gastroenterology),Under 15 Min,95,100%,Lahore
Dr. Abdul Rauf,"Internal Medicine Specialist, Consultant Physician, Diabetologist, Gastroenterologist",MBBS,12 Years,"Rs. 1,000",MD (Internal Medicine),Under 15 Min,33,100%,Lahore
Dr. Talha Khalid,"Internal Medicine Specialist, Consultant Physician, Gastroenterologist",M.B.B.S.,12 Years,"Rs. 2,000","F.C.P.S. (Medicine),  F.C.P.S.",Under 15 Min,740,99%,Lahore
Dr. Arslan Shamim,"Internal Medicine Specialist, Family Physician, Consultant Physician, Diabetologist, General Physician, Gastroenterologist",M.B.B.S,9 Years,"Rs. 3,500","F.C.P.S (Medicine),  M.R.C.P. (UK)",Under 15 Min,465,98%,Lahore
Prof. Dr. Imran Anwar Khan,"Consultant Physician, Hepatologist, Gastroenterologist",M.B.B.S.,31 Years,"Rs. 3,500","M.D Gastroenterology (Gold Medalist),  FRCP (Gastroenterology & General Medicine)",Under 15 Min,335,96%,Lahore
Assist. Prof. Dr. Fahmina Ashfaq,"Internal Medicine Specialist, Consultant Physician, Diabetologist, Gastroenterologist",M.B.B.S. M.R.C.P (UK),14 Years,"Rs. 1,500","M.C.C.E.E (Canada),  F.C.P.S (Medicine)",Under 15 Min,2178,97%,Lahore
Assist. Prof. Dr. Mujahid Israr,"Internal Medicine Specialist, General Physician, Gastroenterologist",MBBS,17 Years,"Rs. 3,000","FCPS (Medicine),  MACG (USA),  FCPS (Gastroenterology),  SCE (U.K)",15 - 30 Min,6593,97%,Lahore
Dr. Abdul Moeed Akram,"Gastroenterologist, Hypertension Specialist, Hepatologist",MBBS,8 Years,"Rs. 2,000","FCPS (Gastroenterology),  European Speciality Certificate in Gastroenterology and Hepatalogy (UK)",15 - 30 Min,276,100%,Lahore
